PROLIFIC_ID,time_s6,dt_Achiev_01,dt_Activ_01rev,dt_Altru_01,dt_Angry_01,dt_Anxiet_01,dt_Assert_01,dt_Compet_01rev,dt_Complianc_01,dt_Delib_01,dt_Depress_01rev,dt_Dutif_01rev,dt_Excite_01,dt_Fantasy_01,dt_Gregar_01,dt_Impuls_01,dt_Indiff_01,dt_Modest_01,dt_Order_01,dt_SelfAss_01,dt_SelfDisc_01,dt_Shame_01,dt_Straight_01,dt_Tender_01,dt_Trust_01,dt_Vulner_01,dt_Warmth_01rev,dt_Achiev_02,dt_Activ_02,dt_Altru_02,dt_Angry_02,dt_Anxiet_02rev,dt_Assert_02,dt_Compet_02,dt_Complianc_02,dt_Delib_02,dt_Depress_02rev,dt_Dutif_02rev,dt_Excite_02,dt_Fantasy_02,dt_Gregar_02,dt_Impuls_02,dt_Indiff_02,dt_Modest_02,dt_Order_02,dt_SelfAss_02,dt_SelfDisc_02,dt_Shame_02,dt_Straight_02,dt_Tender_02,dt_Trust_02,dt_Vulner_02,dt_Warmth_02rev,dt_Achiev_03,dt_Activ_03,dt_Altru_03,dt_Angry_03,dt_Anxiet_03,dt_Assert_03,dt_Compet_03,dt_Complianc_03,dt_Delib_03,dt_Depress_03rev,dt_Dutif_03rev,dt_Excite_03,dt_Fantasy_03rev,dt_Gregar_03,dt_Impuls_03,dt_Indiff_03,dt_Modest_03,dt_Order_03rev,dt_SelfAss_03,dt_SelfDisc_03rev,dt_Shame_03,dt_Straight_03,dt_Tender_03,dt_Trust_03rev,dt_Vulner_03rev,dt_Warmth_03rev,dt_Achiev_04,dt_Activ_04rev,dt_Altru_04rev,dt_Angry_04,dt_Anxiet_04rev,dt_Assert_04,dt_Compet_04rev,dt_Complianc_04,dt_Delib_04rev,dt_Depress_04,dt_Dutif_04rev,dt_Excite_04,dt_Fantasy_04,dt_Gregar_04,dt_Impuls_04,dt_Indiff_04,dt_Modest_04,dt_Order_04rev,dt_SelfAss_04,dt_SelfDisc_04rev,dt_Shame_04,dt_Straight_04,dt_Tender_04,dt_Trust_04rev,dt_Vulner_04,dt_Warmth_04rev,esm_Achiev_01,esm_Delib_01,esm_Fantasy_02,esm_Impuls_02,esm_Selfass_01,esm_Straight_01,esm_Tender_01,esm_Vulner_01,s8p_Duty,s8p_Intellect,s8p_Advers,s8p_Mating,s8p_Positiv,s8p_Negativ,s8p_Decept,s8p_Social,mc_Revstrat_01,mc_Revstrat_02,mc_Revstrat_03
5e245c9c63251a6e1664c873,1183,2,1,1,4,1,3,1,2,1,1,5,1,1,4,1,3,3,4,1,1,4,4,1,1,3,5,4,4,1,1,5,3,5,4,1,3,5,1,2,5,1,2,3,5,5,1,5,5,1,5,4,5,4,2,1,3,2,3,5,1,1,3,5,1,5,4,2,3,4,1,5,4,3,4,1,3,4,3,4,3,4,5,5,1,2,5,5,3,5,1,1,4,1,3,5,1,5,5,3,1,1,3,5,4,4,4,5,3,5,3,1,1,5,5,3,5,5,1,1,5,Make them tell the rest of the people what happened.,Say nothing and rise above because I don't care.,"Side-eye them and laugh about it with my date, pointing out how ridiculous they are"
60f7e626e10e9a1f66a4aa03,1317,2,2,1,5,2,1,5,1,1,5,4,2,2,1,5,1,1,5,5,4,5,3,1,5,1,1,2,2,1,2,5,1,3,1,5,5,5,1,2,1,5,2,1,5,2,4,5,2,5,5,2,1,2,1,1,1,1,1,4,1,2,1,3,1,5,1,5,1,1,5,2,2,5,1,1,1,5,4,2,5,5,4,5,4,5,1,4,1,5,1,1,1,5,1,1,1,1,1,5,1,1,2,1,4,1,4,1,2,1,1,1,4,4,3,5,1,1,5,5,1,"Ask him to describe the pros and cons of the idea to the co-workers, and how came up with the idea.",I would stop answering their calls ,I would ask to move to another table
62cd73eeceb2d00451780b0a,1302,4,4,4,5,5,3,2,2,5,3,5,4,4,4,4,4,5,4,4,4,4,3,2,4,4,5,5,5,4,3,4,3,2,2,1,1,5,5,4,3,4,4,2,1,2,2,5,2,3,4,4,4,4,4,5,3,4,3,5,4,5,1,4,4,3,5,5,4,2,5,3,2,4,3,5,3,3,4,5,5,3,4,2,3,3,1,5,4,4,4,3,3,4,4,5,1,4,4,5,3,4,5,3,5,4,3,4,4,2,4,3,4,4,5,2,1,3,3,4,5,Boomerang is always comes back,Make people feel sorry ,Ask waiter to change your table 
5f3abb432fd48973806751a9,1442,4,1,2,3,4,4,3,4,1,5,5,3,1,4,2,2,3,4,2,2,4,4,1,2,4,2,4,5,2,4,5,3,4,4,1,4,5,3,4,4,3,3,1,5,3,2,5,3,1,5,5,4,4,2,2,5,1,4,5,2,1,1,5,4,1,1,4,2,1,3,4,4,4,4,1,3,5,4,4,3,5,4,5,2,3,2,4,1,5,4,3,5,4,3,3,3,2,4,5,1,1,2,4,4,1,1,1,4,3,4,5,5,1,2,4,1,1,5,1,1,Use the sarcasm after he told my ideas,I would cry a little so they'll feel bad,I would do as much noise as them so I bother them too
60ff18c2c58a4ec375fb19aa,1406,3,2,1,3,3,4,4,2,3,3,5,4,3,4,2,3,3,4,2,1,4,4,1,2,3,5,5,4,2,3,2,4,4,5,4,4,5,3,3,4,2,3,2,2,5,1,5,4,2,2,4,5,4,2,1,4,3,4,4,4,3,4,5,4,4,2,4,3,3,4,4,4,3,4,1,2,3,4,4,5,5,4,4,4,4,3,3,4,5,3,3,4,3,3,3,3,3,4,4,4,1,4,3,5,4,2,3,4,2,2,2,1,3,4,4,4,4,4,3,5,"Ask my collegue to ellaborate as of how he got the idea, until they themselves give away they didn't come up with it.","Ask them honestly why they went to dinner without me, what the ocassion was and why they decided not to invite me",Ask the staff of the restaurant to do something about it since they're making everyone around uncomfortable.
613a748b4d5d6e3b8a0e2205,1543,4,2,1,3,1,4,2,2,1,2,4,3,3,3,5,4,2,4,3,5,2,4,1,4,4,3,4,5,4,1,2,3,4,3,2,3,2,2,4,4,2,2,4,4,4,4,2,4,2,2,4,3,4,4,2,2,4,3,5,4,4,4,4,4,3,3,4,4,3,2,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,2,4,2,4,3,3,3,2,3,3,2,4,4,4,3,2,4,5,3,3,5,3,2,4,4,2,3,4,4,2,4,5,2,2,5,I will speak and I will have proof,upload photos of the meeting,Tell the waiter to fire them for being loud and rude
61488caa3d65d27f901c7ad4,1606,5,1,1,5,1,1,1,4,4,4,4,1,5,4,1,2,3,5,2,4,4,4,1,2,2,3,5,5,5,4,5,5,5,4,1,4,5,4,5,5,2,4,2,5,5,1,5,4,1,5,4,4,5,5,4,5,2,5,5,4,4,2,5,3,1,4,2,3,5,2,5,5,4,4,2,4,2,4,5,1,5,4,4,4,4,2,4,2,5,4,5,4,2,4,5,3,5,5,4,4,2,3,5,2,5,4,5,3,4,2,2,2,3,4,4,5,5,2,4,5,I would suggest to my boss and co-worker that I work with them on the idea. Since it was my own to begin with I would take over and make sure I get back my credit,plan a weekend fully paid by them without their knowledge by saying I left my wallet home,I would speak to the manager about the situation
5fbecc90a63fcb025200b7a8,1801,3,2,3,4,4,2,4,2,3,3,3,3,4,4,4,4,4,3,2,3,4,2,4,3,3,4,4,4,3,3,4,4,3,4,4,3,4,4,4,3,4,3,3,4,4,2,3,4,2,5,3,3,4,4,3,4,2,4,3,3,4,4,4,4,3,5,2,5,3,2,4,3,4,3,4,3,5,4,3,5,4,3,4,3,3,4,4,4,4,4,4,5,5,4,4,3,4,3,5,3,3,4,3,3,4,3,4,4,5,4,4,3,4,4,3,4,3,4,3,3,Accuse your colleague of theft to try to get them fired,I ask him clearly why they didn't invite me,call the owner of the venue to resolve
60e7dc018573577353957377,1747,4,5,1,3,2,1,3,3,1,3,5,4,4,5,2,1,5,4,3,3,5,1,1,4,3,4,5,5,5,3,3,4,4,2,4,5,4,5,5,3,5,1,2,5,4,3,5,3,1,3,4,5,5,1,1,5,1,3,4,3,2,1,5,1,1,5,2,2,2,4,5,4,3,2,1,1,3,5,5,5,4,3,5,3,4,2,5,2,5,3,5,5,3,3,5,3,2,4,5,3,1,5,4,5,4,4,4,4,5,4,1,3,4,4,4,5,5,5,3,4,Tell my colleague another idea to trap,Make them uncomfortable and ask them,"Smile and respond ""ok"""
5b8b019ee2c0780001ae4591,1813,5,4,1,1,4,1,1,2,1,1,5,3,2,2,1,4,3,5,2,1,1,1,1,1,5,5,5,5,1,1,2,3,5,1,1,1,5,3,5,1,2,4,1,5,4,1,3,4,1,5,4,5,5,5,1,1,2,5,5,1,1,4,5,3,4,1,1,3,3,1,5,5,1,2,2,4,1,4,2,3,4,4,4,4,2,1,5,5,5,2,3,3,1,5,1,2,5,4,2,2,2,4,4,5,5,5,4,1,1,1,2,1,4,4,5,5,5,4,4,5,I would speak to my colleague privately after the meeting. I would tell her that I feel betrayed by her and that she has broken the trust between us. I would urge to tell our boss the truth or I will do so on her behalf.,I would move on to another topic and accept that they did not want me to attend the dinner. , I would not respond to their answer that I should mind my business.
611807947ecc9a1d17b1141c,1778,4,4,3,3,4,4,4,3,5,2,4,3,4,4,4,4,2,3,4,2,4,2,3,3,4,3,4,4,4,3,4,4,4,5,4,4,5,4,5,5,4,3,3,4,4,5,5,4,4,5,3,5,4,4,4,4,4,4,4,4,5,4,4,5,4,4,5,5,4,5,4,4,5,5,5,5,4,5,5,4,4,5,5,5,4,4,5,5,5,5,5,4,3,5,4,4,5,4,4,5,4,5,5,4,5,5,2,2,2,2,3,4,4,5,5,4,5,5,4,5,Elaborate the idea in grater detail and make it known that it was my idea,Find other friends to go out with ,Pay the DJ extra money to play your favorite song and jam to it with your date 
5e83b528dec0ea0e15376390,2245,3,1,2,4,3,4,1,3,2,3,4,3,5,4,5,2,5,5,5,2,3,4,2,5,1,5,3,5,2,5,1,4,5,3,4,3,5,3,2,5,3,5,2,4,1,3,3,2,2,5,4,4,2,4,2,3,5,4,5,3,3,4,4,1,1,1,2,4,3,2,1,4,3,4,2,4,4,4,4,5,5,5,2,5,3,2,4,3,4,1,5,1,1,4,5,1,2,5,4,1,1,4,4,5,1,5,1,5,1,5,3,5,5,5,3,3,4,3,3,3,tell the boss,tell him off,call the staff
5f03c4832e8e3c608c6cdb35,2333,5,1,1,2,4,4,2,3,2,2,5,5,3,5,4,3,4,5,3,2,2,1,2,1,4,4,5,5,4,1,4,5,4,4,4,2,2,3,5,4,2,3,1,5,5,3,3,4,1,5,4,5,4,4,5,5,2,5,5,3,2,2,5,5,5,2,2,3,4,1,5,5,2,4,2,2,2,5,5,2,3,5,2,5,2,3,5,5,5,5,4,5,4,4,4,4,4,5,3,2,2,4,4,4,4,5,5,2,2,2,1,5,5,5,1,3,5,1,1,5,I would explain in greater detail my idea that he stole from me so that they would realize who created it,"I would ask them directly why they did not invite me and if they have a problem with me, I would also make them understand that they do not have the obligation to do it always, I would only care if there is a conflict to solve it",I would ask the waiter to change my table so I could be comfortable
61681f4ae07fb78d64af4e6d,2352,5,5,2,4,1,3,3,2,1,2,5,4,2,1,3,4,4,4,4,3,4,4,1,2,2,5,4,4,3,2,5,3,3,2,1,4,2,3,3,2,2,4,4,5,2,4,1,2,1,4,2,5,4,3,3,3,2,3,4,4,3,2,5,4,5,1,3,3,3,1,2,4,2,4,1,2,4,4,4,4,5,3,4,3,2,2,4,2,3,4,3,4,4,2,4,2,5,4,3,4,4,3,2,2,4,4,2,3,4,2,2,4,5,4,2,5,4,3,4,4,taking their ideas and present it  first to the boss.,telling my friend not to bring the wallet and leave before the bill comes.,join them and order something expensive so that they can pay for it 
5f302c0117eb96465ce77e84,2497,3,1,3,5,1,5,3,3,2,3,3,1,1,3,4,5,1,5,5,1,4,5,3,4,4,4,3,5,1,3,1,5,5,5,5,1,5,5,1,1,5,5,1,5,5,5,3,5,5,5,5,3,5,5,1,1,3,5,5,1,3,5,5,1,1,1,1,5,5,1,5,5,1,5,4,5,5,3,1,3,5,5,1,5,3,1,5,5,5,1,1,1,4,5,5,1,5,5,1,1,3,3,5,3,5,5,3,3,1,5,5,3,5,5,3,1,3,1,1,4,Trying to convince the boss that it was my idea,Simply forget such friends,Humiliate him with your intelligence
616aea6b17045149d16aca39,2758,5,3,1,5,3,4,1,3,5,2,5,2,1,5,5,5,5,5,5,1,2,4,4,3,3,4,5,5,3,2,3,2,5,5,4,4,4,5,4,4,4,5,5,4,4,4,4,5,1,5,4,5,5,3,1,5,1,5,5,5,4,1,5,2,2,1,5,3,4,4,4,5,1,3,4,2,5,5,2,4,3,4,5,5,4,5,3,5,4,3,4,4,3,3,3,3,4,5,3,3,4,5,3,2,5,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,"I'll just be shocked. Know who to not share my ideas with, keep colleagues far from my thought process",Feed them wrong ideas,just mind my business
5e7a564c3a915c03028714d8,1213,4,4,1,2,4,2,5,3,4,4,4,5,5,5,4,5,1,1,5,4,4,5,1,2,5,2,4,1,1,1,2,4,3,4,5,3,2,4,2,1,1,5,1,5,4,4,4,4,1,2,4,1,2,4,1,1,4,4,2,3,5,2,4,4,4,1,4,4,1,5,5,1,5,4,4,2,4,2,1,5,1,2,4,5,4,4,2,4,4,4,1,5,3,4,4,5,2,1,2,1,2,4,4,4,4,4,1,5,4,5,2,1,1,5,4,2,5,2,2,5,Speak out during the meeting,Find new friends,Ask the management to deal with it
613c181f2a6e6c29cd6ce0f6,2798,2,2,2,2,3,3,2,3,3,3,4,4,4,2,2,4,2,4,2,3,2,1,3,3,3,5,4,5,3,2,3,3,1,3,3,2,3,3,4,3,2,3,1,4,3,3,2,3,3,2,3,3,4,3,3,3,3,1,5,2,3,3,4,4,4,1,3,4,1,3,4,4,4,2,1,3,3,4,4,3,4,4,3,3,3,2,4,4,4,3,3,3,3,3,3,3,4,5,1,2,3,4,3,5,5,3,2,1,1,1,3,3,4,3,2,1,5,1,3,4,I will think in another idea and plan something to accuse mi co-worker in silence ,Say that i feel terrible last weekend,Tell to the manager 
613ad089983f33fc8194d601,1509,4,4,1,5,1,4,2,5,1,5,5,2,5,5,5,2,1,1,4,4,4,4,4,4,2,5,5,4,1,2,5,2,4,4,5,5,2,1,5,5,5,2,3,4,1,2,5,4,4,4,2,4,5,1,4,2,1,2,2,4,2,1,4,4,1,4,5,2,1,5,2,4,5,2,1,2,5,5,5,5,4,5,5,2,5,4,5,5,4,3,4,5,4,2,5,2,2,4,5,4,1,4,1,5,5,4,5,5,4,4,1,5,1,2,4,4,4,5,5,5,I would frame them for destroying property of the enterprise,Couldn't think of anything,I would pay a waiter to spit on their food
5ed1566237d27008e6239275,551,4,3,3,3,2,3,4,2,4,3,3,3,5,4,3,2,5,4,3,3,4,3,2,3,3,5,5,3,3,2,3,3,3,2,3,3,3,3,5,4,3,3,3,4,3,3,3,2,3,3,3,3,3,4,3,2,3,3,3,2,3,2,4,3,1,4,3,3,3,3,4,4,3,3,3,3,3,4,5,2,3,2,4,4,3,2,3,2,3,2,5,4,2,2,5,3,3,3,5,3,3,3,4,5,5,2,3,3,2,3,2,3,4,3,4,3,4,1,1,5,Spreading terrible gossip ensures they feel unsure about their colleagues and are denied a level of trust ,Having a better party without them is more fun and ensures they feel left out and know how it felt to be like that ,Informing the staff that they are unacceptable patrons ensures swift action and humiliates them in front of the other guests 
5fb256534e96ca7f1e7ede74,627,3,4,3,4,4,3,3,5,4,3,3,4,4,3,3,3,5,4,4,4,3,4,4,3,4,5,4,3,3,4,3,4,3,4,3,3,4,3,4,4,3,2,4,4,4,4,2,3,4,3,4,5,3,3,4,2,3,4,4,4,4,3,3,3,3,4,3,3,3,3,3,4,3,4,3,2,2,3,3,4,3,2,3,4,3,3,4,3,2,4,4,3,5,3,3,4,3,4,5,2,4,4,4,2,3,2,3,3,4,3,3,4,3,4,4,3,3,4,1,4,proving it was my idea = he's in trouble,I would say that on that day someone died from a distant family and that was when I needed them but nobody answered the phone because they were at a meeting together,I would tell the waiter that I saw them toss their hair to eat and I would like to leave without paying for a meal
611bbf442fae05702503ef30,652,1,1,1,1,1,3,4,1,1,3,4,3,3,1,1,1,1,4,4,3,1,1,1,1,1,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,3,3,2,3,1,3,4,4,5,5,4,3,3,4,4,4,3,3,1,1,3,3,1,1,1,3,4,4,3,2,1,4,3,3,3,3,4,1,2,4,4,4,4,2,4,3,4,4,2,4,2,3,4,4,4,4,4,4,4,3,4,4,4,2,2,4,1,4,4,4,2,4,4,1,1,4,Say that it was your idea,Dont say anything about de dinner,Tell the restaurants boss whats happening
5af6e439672ea800010d4e92,673,3,1,3,1,5,4,1,3,1,1,4,1,1,3,1,5,1,4,1,1,1,4,1,1,5,3,1,4,1,1,1,5,5,3,1,1,5,3,1,1,1,5,1,3,4,1,1,5,3,3,5,4,5,5,3,1,5,5,5,3,1,5,4,3,5,1,1,5,1,1,5,5,1,4,3,4,1,3,1,1,4,1,1,5,1,3,5,5,5,5,1,3,1,5,3,3,5,5,1,1,3,4,5,4,5,5,3,1,1,5,3,1,5,5,1,1,4,1,1,4,Get Kompromat on my colleague,Host and disinvite,Feign a trip and spill wine
5ef945aa4ffead6e3ea69289,716,2,5,4,4,2,1,1,3,4,3,4,1,4,3,4,2,2,2,5,4,3,2,1,4,2,4,3,2,1,1,4,3,2,2,2,2,3,1,4,4,2,1,1,4,2,1,2,1,3,4,2,4,4,1,2,2,1,1,1,1,2,1,4,3,4,1,2,1,1,2,1,3,2,1,2,2,4,5,4,2,3,3,5,4,5,2,2,1,5,1,1,4,1,2,2,1,1,4,4,2,1,1,1,3,1,1,1,1,1,1,1,1,4,4,4,1,4,4,2,4,"Talk to the boss and explain what happened, and provide all proof that indicated that the idea was mine.","Confront them about their dinner, ask why I wasn't invited.",Tell the waiter you'll complain to the manager if something isn't done.
59102d52f601090001e80b82,786,1,2,2,2,2,1,2,1,2,2,3,1,1,1,3,1,1,3,5,2,3,4,2,2,3,2,2,4,1,1,1,1,3,1,1,1,4,1,1,1,2,1,3,4,2,3,5,3,2,2,2,3,3,2,3,1,2,1,5,2,2,2,3,1,1,1,3,1,1,2,3,4,4,4,3,3,5,2,2,2,2,3,3,2,4,1,4,2,5,1,1,1,3,1,5,1,3,5,4,3,3,3,4,4,1,1,1,1,1,2,5,1,5,5,4,4,4,4,4,5,Sabotage my colleague's computer and delete certain important data.,"Mention how good of a time I had due to winning the lottery on a scratch ticket that I bought on the weekend that they were all out on, and that if they came along with me we would have likely split the winnings.","Get up from the chair, while holding a glass of wine, and 'accidentally' slip and spill the glass of wine all over their table and food, and then apologize profusely while not being genuine at all."
